tmdbId,genres
810,"Fantasy, Adventure, Animation, Comedy, Family"
138832,"Comedy, Crime"
50619,"Adventure, Fantasy, Romance"
24021,"Adventure, Fantasy, Drama, Romance"
68724,"Science Fiction, Action, Drama, Thriller"
3933,"Romance, Fantasy, Animation"
177677,"Action, Adventure"
156022,"Thriller, Action, Crime"
620,"Comedy, Fantasy"
109439,Comedy
954,"Adventure, Action, Thriller"
466282,"Comedy, Romance"
76492,"Animation, Comedy, Family, Fantasy"
474350,"Horror, Fantasy"
180,"Action, Thriller, Science Fiction, Mystery"
152532,"Drama, History"
453395,"Fantasy, Action, Adventure"
8373,"Science Fiction, Action, Adventure"
512200,"Adventure, Comedy, Fantasy"
348350,"Science Fiction, Adventure, Action"
391713,"Drama, Comedy"
464052,"Action, Adventure, Fantasy"
450465,"Thriller, Drama, Science Fiction"
537915,"Romance, Drama"
402900,"Crime, Comedy, Action"
50646,"Comedy, Drama, Romance"
259693,"Horror, Thriller"
330,"Adventure, Action, Science Fiction"
38356,"Action, Science Fiction, Adventure"
74,"Adventure, Thriller, Science Fiction"
744,"Romance, Drama, Action"
436969,"Action, Comedy, Adventure"
8355,"Animation, Comedy, Family, Adventure"
63,"Science Fiction, Thriller, Mystery"
328111,"Adventure, Comedy, Animation, Family"
550988,"Comedy, Adventure, Science Fiction"
389,Drama
217,"Adventure, Action"
508943,"Animation, Comedy, Fantasy, Adventure, Family"
91314,"Science Fiction, Action, Adventure"
51497,"Action, Thriller, Crime"
38700,"Thriller, Action, Crime"
361743,"Action, Drama"
339846,"Comedy, Action, Crime"
187,"Thriller, Action, Crime"
50014,Drama
353081,"Action, Adventure"
337167,"Drama, Romance"
58595,"Adventure, Fantasy, Drama"
28,"Drama, War"
2108,"Comedy, Drama"
187017,"Crime, Comedy, Action"
335797,"Animation, Comedy, Family, Music"
435,"Action, Adventure, Science Fiction, Thriller"
35,"Animation, Comedy, Family"
406997,"Drama, Family"
50544,"Romance, Comedy"
4951,"Comedy, Romance, Drama"
333371,"Thriller, Science Fiction, Drama, Horror"
114,"Comedy, Romance"
256591,"Romance, Comedy, Crime"
95,"Action, Thriller, Science Fiction, Adventure"
10144,"Animation, Family, Fantasy"
22970,"Horror, Fantasy"
341174,"Drama, Romance"
137,"Romance, Fantasy, Drama, Comedy"
9552,Horror
594,"Comedy, Drama"
290250,"Comedy, Crime, Action"
646380,"Science Fiction, Comedy, Drama"
340666,"Drama, Thriller"
268,"Fantasy, Action, Crime"
336843,"Science Fiction, Action, Adventure, Thriller"
1366,"Drama, Romance"
2105,"Comedy, Romance"
49013,"Animation, Family, Adventure, Comedy"
57800,"Animation, Comedy, Adventure, Family"
487558,"Comedy, Crime, Drama"
404368,"Family, Animation, Comedy, Adventure"
359724,"Drama, Action, History"
32657,"Adventure, Fantasy, Family"
14836,"Animation, Family, Fantasy"
312221,"Action, Drama"
300669,"Thriller, Horror"
214756,"Comedy, Fantasy"
493922,"Horror, Mystery, Thriller"
408,"Fantasy, Animation, Family"
